team_a_strength,team_b_strength,toss_winner_is_a,toss_decision_bat,is_first_innings,batting_team_is_a,runs_a,wickets_a,overs_a,runs_b,wickets_b,overs_b,target,label_winner_is_a
0.57,0.6,0,0,1,1,116,2,17.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,128,2,18.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,139,2,19.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,141,2,20.0,0,0,0.0,0,0
0.57,0.6,0,0,0,0,141,2,20.0,8,0,1.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,12,1,2.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,25,1,3.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,42,2,4.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,45,2,5.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,47,3,6.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,54,3,7.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,66,3,8.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,73,4,9.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,80,5,10.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,93,5,11.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,101,5,12.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,104,6,13.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,117,6,14.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,122,6,15.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,138,6,16.0,142,0
0.57,0.6,0,0,0,0,141,2,20.0,143,6,16.33,142,0
0.42,0.55,0,1,1,0,0,0,0.0,21,1,1.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,33,1,2.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,34,1,3.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,39,1,4.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,43,1,5.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,51,1,6.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,61,1,7.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,73,1,8.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,85,1,9.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,86,2,10.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,91,2,11.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,98,2,12.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,108,2,13.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,110,3,14.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,112,3,15.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,116,3,16.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,129,3,17.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,141,3,18.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,146,3,19.0,0,0
0.42,0.55,0,1,1,0,0,0,0.0,150,3,20.0,0,0
0.42,0.55,0,1,0,1,2,0,1.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,10,1,2.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,18,1,3.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,20,2,4.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,24,2,5.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,31,2,6.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,37,2,7.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,38,2,8.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,44,2,9.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,52,2,10.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,68,2,11.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,76,2,12.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,85,2,13.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,89,2,14.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,98,3,15.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,108,3,16.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,122,4,17.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,131,4,18.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,141,4,19.0,150,3,20.0,151,0
0.42,0.55,0,1,0,1,148,5,20.0,150,3,20.0,151,0
0.49,0.37,0,0,1,1,7,0,1.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,12,0,2.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,18,0,3.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,22,1,4.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,32,1,5.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,37,1,6.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,54,1,7.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,59,1,8.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,63,1,9.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,69,1,10.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,71,2,11.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,78,3,12.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,85,4,13.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,88,4,14.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,93,4,15.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,111,4,16.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,122,4,17.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,123,5,18.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,128,5,19.0,0,0,0.0,0,1
0.49,0.37,0,0,1,1,131,5,20.0,0,0,0.0,0,1
0.49,0.37,0,0,0,0,131,5,20.0,7,0,1.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,9,0,2.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,12,0,3.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,17,0,4.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,27,0,5.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,37,0,6.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,47,0,7.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,47,0,8.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,51,0,9.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,61,2,10.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,65,2,11.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,73,2,12.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,76,2,13.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,88,2,14.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,90,2,15.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,90,3,16.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,98,3,17.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,110,3,18.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,118,3,19.0,132,1
0.49,0.37,0,0,0,0,131,5,20.0,126,3,20.0,132,1
0.61,0.52,1,1,1,1,4,0,1.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,21,0,2.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,26,0,3.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,31,0,4.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,34,0,5.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,38,0,6.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,43,1,7.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,49,1,8.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,53,1,9.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,58,1,10.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,65,1,11.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,74,1,12.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,76,2,13.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,81,2,14.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,85,2,15.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,94,2,16.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,104,2,17.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,114,2,18.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,127,2,19.0,0,0,0.0,0,0
0.61,0.52,1,1,1,1,140,2,20.0,0,0,0.0,0,0
0.61,0.52,1,1,0,0,140,2,20.0,12,0,1.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,26,0,2.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,32,0,3.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,37,0,4.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,46,0,5.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,54,0,6.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,66,1,7.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,76,2,8.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,84,2,9.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,94,2,10.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,96,2,11.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,98,2,12.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,104,2,13.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,111,2,14.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,120,2,15.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,127,2,16.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,132,2,17.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,135,3,18.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,140,3,19.0,141,0
0.61,0.52,1,1,0,0,140,2,20.0,142,3,19.17,141,0
0.53,0.56,0,1,1,0,0,0,0.0,8,0,1.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,11,0,2.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,14,1,3.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,17,2,4.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,25,2,5.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,30,2,6.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,35,2,7.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,47,2,8.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,57,2,9.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,67,2,10.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,73,2,11.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,78,4,12.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,85,4,13.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,88,4,14.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,90,4,15.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,97,4,16.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,104,4,17.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,111,4,18.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,117,4,19.0,0,1
0.53,0.56,0,1,1,0,0,0,0.0,121,4,20.0,0,1
0.53,0.56,0,1,0,1,9,0,1.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,15,0,2.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,24,0,3.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,27,0,4.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,34,0,5.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,40,1,6.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,43,2,7.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,52,2,8.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,56,2,9.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,58,2,10.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,62,2,11.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,68,3,12.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,76,3,13.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,84,3,14.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,87,4,15.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,91,5,16.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,95,5,17.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,106,5,18.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,114,6,19.0,121,4,20.0,122,1
0.53,0.56,0,1,0,1,122,6,19.67,121,4,20.0,122,1
0.46,0.62,0,1,1,0,0,0,0.0,5,0,1.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,10,0,2.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,14,0,3.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,24,0,4.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,33,0,5.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,44,0,6.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,48,1,7.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,58,1,8.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,74,1,9.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,91,1,10.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,100,1,11.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,108,1,12.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,115,1,13.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,127,1,14.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,136,1,15.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,143,1,16.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,150,1,17.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,160,1,18.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,165,1,19.0,0,1
0.46,0.62,0,1,1,0,0,0,0.0,190,1,20.0,0,1
0.46,0.62,0,1,0,1,9,0,1.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,15,0,2.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,20,0,3.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,32,0,4.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,36,1,5.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,40,1,6.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,42,1,7.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,60,1,8.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,72,1,9.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,78,1,10.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,84,1,11.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,92,2,12.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,104,2,13.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,112,4,14.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,126,4,15.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,130,4,16.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,138,5,17.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,152,5,18.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,174,5,19.0,190,1,20.0,191,1
0.46,0.62,0,1,0,1,192,5,19.67,190,1,20.0,191,1
0.64,0.41,0,1,1,0,0,0,0.0,5,0,1.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,11,0,2.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,16,0,3.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,21,1,4.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,29,2,5.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,34,2,6.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,35,2,7.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,44,2,8.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,60,2,9.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,65,2,10.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,72,2,11.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,72,2,12.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,77,2,13.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,83,2,14.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,95,2,15.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,102,2,16.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,119,2,17.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,128,2,18.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,132,2,19.0,0,1
0.64,0.41,0,1,1,0,0,0,0.0,138,3,20.0,0,1
0.64,0.41,0,1,0,1,3,0,1.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,22,0,2.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,31,0,3.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,38,0,4.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,49,0,5.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,52,1,6.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,61,1,7.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,68,2,8.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,74,2,9.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,86,2,10.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,97,2,11.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,110,2,12.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,127,2,13.0,138,3,20.0,139,1
0.64,0.41,0,1,0,1,139,2,14.0,138,3,20.0,139,1
0.46,0.35,0,1,1,0,0,0,0.0,6,0,1.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,19,0,2.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,33,0,3.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,39,0,4.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,44,0,5.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,53,1,6.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,55,1,7.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,64,1,8.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,71,2,9.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,80,2,10.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,90,2,11.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,93,2,12.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,103,2,13.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,116,2,14.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,124,2,15.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,131,2,16.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,135,2,17.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,142,2,18.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,150,2,19.0,0,1
0.46,0.35,0,1,1,0,0,0,0.0,157,2,20.0,0,1
0.46,0.35,0,1,0,1,10,0,1.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,25,0,2.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,31,1,3.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,37,1,4.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,41,2,5.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,49,2,6.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,55,2,7.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,63,2,8.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,68,2,9.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,76,2,10.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,82,2,11.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,85,2,12.0,157,2,20.0,158,1
0.46,0.35,0,1,0,1,101,2,13.0,157,2,20.0,158,1
